
Zeit;Spielzeit;Spielstand;Aktion
19:32:22;00:41;1:0;Tor durch Jochen Nägele (31)
19:33:19;01:18;Verwarnung für Christian Stuber (2)
19:33:39;01:39;2:0;Tor durch Andreas Schuster (15)
19:34:08;02:08;2:1;Tor durch Kevin Langjahr (34)
19:35:23;03:22;Verwarnung für Andreas Schuster (15)
19:35:39;03:39;Verwarnung für Jochen Nägele (31)
19:36:06;04:05;3:1;Tor durch Andreas Schuster (15)
19:36:14;04:14;Verwarnung für Mattis Eickmeier (14)
19:37:36;05:36;4:1;Tor durch Jochen Nägele (31)
19:37:49;05:48;5:1;Tor durch Felix Thrun (33)
19:37:59;05:53;Auszeit TV Bretten
19:39:47;06:29;5:2;Tor durch Kevin Langjahr (34)
19:40:34;07:16;6:2;7m-Tor durch Jochen Nägele (31)
19:41:07;07:49;7:2;Tor durch Andreas Schuster (15)
19:42:09;08:51;7:3;Tor durch Kevin Langjahr (34)
19:43:36;10:19;Verwarnung für Ingo Catak (39)
19:44:05;10:48;7:4;Tor durch Phillip Ast (10)
19:44:46;11:29;8:4;Tor durch Jochen Nägele (31)
19:44:56;11:38;Verwarnung für Kai Rudolf (5)
19:46:34;13:17;8:5;Tor durch Philipp Schollmeyer (23)
19:47:36;14:00;2-min Strafe für Philipp Schollmeyer (23)
19:47:59;14:00;9:5;7m-Tor durch Jochen Nägele (31)
19:50:01;15:47;2-min Strafe für Ilja Bourlakin (33)
19:50:29;15:53;7m, KEIN Tor durch Jochen Nägele (31)
19:50:33;15:53;10:5;Tor durch Jochen Nägele (31)
19:52:23;17:35;11:5;Tor durch Steffen Nägele (22)
19:57:14;22:27;12:5;7m-Tor durch Steffen Nägele (22)
19:59:16;24:13;2-min Strafe für Matthias Koller (17)
19:59:45;24:17;12:6;7m-Tor durch Ilja Bourlakin (33)
20:00:33;24:51;2-min Strafe für Ingo Catak (39)
20:01:02;24:51;2-min Strafe für Michael Lackinger (6)
20:01:48;25:12;13:6;Tor durch Jonas Villforth (18)
20:02:15;25:38;13:7;Tor durch Kai Rudolf (5)
20:03:11;26:30;13:8;Tor durch Niklas Jolibois (30)
20:03:37;26:37;Auszeit SG Lauterstein
20:05:43;27:15;14:8;Tor durch Michael Lackinger (6)
20:05:50;27:15;2-min Strafe für Marvin Morlock (38)
20:22:39;30:41;14:9;7m-Tor durch Kai Rudolf (5)
20:24:56;32:29;2-min Strafe für Michael Zeller (3)
20:25:41;32:54;2-min Strafe für Jochen Nägele (31)
20:26:19;33:16;14:10;Tor durch Marvin Morlock (38)
20:27:15;34:13;14:11;Tor durch Kai Rudolf (5)
20:27:32;34:27;Auszeit SG Lauterstein
20:29:12;34:52;15:11;Tor durch Christian Stuber (2)
20:30:01;35:36;15:12;Tor durch Kai Rudolf (5)
20:30:07;35:36;2-min Strafe für Christian Stuber (2)
20:31:20;36:15;Verwarnung für Sandro Catak (A)
20:32:20;37:03;15:13;Tor durch Michael Hörandel (24)
20:33:55;38:38;15:14;Tor durch Niklas Jolibois (30)
20:34:44;39:18;2-min Strafe für Lukas Ehrmann (27)
20:35:19;39:37;16:14;Tor durch Jochen Nägele (31)
20:36:22;40:29;2-min Strafe für Kai Rudolf (5)
20:36:48;40:34;17:14;7m-Tor durch Steffen Nägele (22)
